Заказы,Выручка,Цена,Скидка,Рейтинг,Наличие (%),Рейтинг продавца,Отзывы о бренде,Дней в акциях,Средняя видимость,Основной склад,Уровень лояльности,Доставка_ЮФО_(ч),Доставка_ПФО_(ч),Доставка_УФО_(ч),Доставка_ДФО_(ч),Доставка_СФО_(ч),Доставка_СЗФО_(ч),Доставка_ЦФО_(ч),Ср время доставки (ч),Количество показов,Участвует в акциях,Количество отзывов
119,386815,3279.27,64.97,4.4,96.7741935483871,4.497866666666667,3448806,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,2601.0,1,103.0
22,157486,7189.43,49.77,4.5,93.5483870967742,4.57,434490,30,2,Коледино,Начальный,66,21,38,164,18,36,21,52,856.0,1,43.0
2,2912,1522.2,49.77,4.8,96.7741935483871,4.77,11737815,16,1,Котовск,Нет данных,66,21,38,164,18,36,21,52,845.0,1,177.0
455,621484,1381.43,55.2,4.8,96.7741935483871,4.63,7402078,29,2,Белая дача,Бронзовый,66,21,38,164,18,36,21,52,657765.0,1,156.0
58,110442,2056.03,68.4,5.0,96.7741935483871,4.48,844912,25,2,Коледино,Начальный,66,31,55,178,77,36,21,66,127228.0,1,4.0
949,1165590,1266.23,56.8,4.8,96.7741935483871,4.8,114960,29,2,Новосибирск,Бронзовый,65,21,38,164,18,35,20,51,461677.0,1,733.0
856,3120640,3712.37,47.53,4.6,96.7741935483871,4.695,3949662,28,2,Коледино,Серебряный,66,21,38,164,18,36,21,52,280486.0,1,2299.0
245,1036177,4239.77,61.17,4.7,96.7741935483871,4.55,85907,29,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,257479.0,1,275.0
140,467519,3355.6,59.9,4.9,96.7741935483871,4.308125,6005481,29,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,32090.0,1,63.0
271,1300373,4952.47,65.83,4.7,96.7741935483871,0.0,0,30,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,83747.0,1,77.0
339,515629,1527.13,53.57,4.6,96.7741935483871,4.815,560008,29,2,Санкт-Петербург (Уткина Заводь),Бронзовый,66,21,38,169,65,36,21,59,86054.0,1,144.0
737,2106551,3007.73,63.37,4.7,96.7741935483871,4.53,167468,30,2,Коледино,Серебряный,66,21,38,169,65,36,21,59,1746.0,1,76.0
44,278015,6361.7,63.77,4.5,96.7741935483871,4.58,340217,29,2,FBS,Начальный,66,21,38,169,65,36,21,59,14308.0,1,18.0
26,48766,2087.0,72.5,3.7,96.7741935483871,4.48,844912,29,2,Подольск,Нет данных,65,21,38,169,65,35,20,59,52374.0,1,10.0
601,3253312,5573.2,62.77,4.6,96.7741935483871,4.68,41478,28,2,Владимир,Серебряный,66,21,38,164,18,36,21,52,27965.0,1,56.0
64,453605,7114.7,50.8,4.6,96.7741935483871,4.57,434490,30,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,5707.0,1,161.0
266,669322,2562.03,84.07,4.8,96.7741935483871,4.55,170213,29,2,Владимир,Бронзовый,65,21,38,164,18,35,20,51,102379.0,1,344.0
14,50240,3655.83,69.23,3.9,96.7741935483871,4.81,39095,25,2,Коледино,Начальный,66,21,38,169,65,36,21,59,27045.0,1,18.0
90,236775,2702.74,69.33,5.0,87.09677419354838,4.64,11588,14,2,Коледино,Начальный,66,21,38,169,65,36,21,59,111789.0,1,1.0
52,171077,3281.2,50.27,4.5,96.7741935483871,4.497866666666667,3448806,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,11314.0,1,46.0
332,1128089,3475.5,54.53,4.6,96.7741935483871,4.539937888198758,201006839,6,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,128563.0,1,14.0
1212,1578714,1311.9,54.5,4.8,96.7741935483871,4.745,1522012,25,1,Волгоград,Бронзовый,66,21,38,164,18,36,21,52,215914.0,1,1897.0
489,1173701,2412.3,56.07,4.8,96.7741935483871,4.69,379957,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,242807.0,1,339.0
1191,992188,832.9,77.47,4.8,96.7741935483871,4.9,2187185,25,1,Волгоград,Бронзовый,65,21,38,164,18,35,20,51,532746.0,1,761.0
4191,11555075,3122.87,58.23,4.8,96.7741935483871,4.81,7207819,29,1,Чашниково,Золотой,65,21,38,164,18,35,20,51,1121773.0,1,7941.0
3,2790,940.6,24.9,0.0,96.7741935483871,4.443333333333333,345601,25,2,FBS,Нет данных,67,31,55,180,77,40,25,67,18001.0,1,0.0
12,46884,3642.68,50.47,0.0,61.29032258064516,4.695,449706471,11,2,Коледино,Нет данных,66,21,38,169,65,36,21,59,172207.0,1,0.0
2381,4770055,1994.97,63.43,4.8,96.7741935483871,4.7525,7085438,28,2,Электросталь,Серебряный,66,21,38,164,18,36,21,52,299666.0,1,2749.0
91,275767,3142.2,79.37,4.6,96.7741935483871,0.0,0,29,2,Коледино,Начальный,66,21,38,169,65,36,21,59,324855.0,1,13.0
